,1,2,3,4,5,6,7,8,9,10,11,12
A,6062,7012,5634,5734,5556,6000,6037,5883,5950,6089,5982,6081
B,5612,6039,5639,5558,5583,6017,5679,5911,5785,5889,6112,5834
C,5649,5546,5594,5699,6045,6033,5568,6100,6073,6114,5856,5788
D,5620,5632,6008,5653,6015,5710,5514,6098,5908,5884,5836,5973
E,5600,5727,5505,5509,5659,5731,5554,5896,5774,5753,5830,5871
F,5616,5578,5585,5531,5535,5669,5965,5918,5757,5826,5948,5989
G,5592,5662,5645,6026,6016,5692,5819,6077,6101,5901,5937,5876
H,5732,5706,5697,5523,5599,5555,5783,5797,5779,5906,5842,5942
,,,,,,,,,,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,12C5,14B1,14C4,15A4,15C4,16A5,16C4,1A5,1C3,2A4,2C3,3B2
B,12D1,14B2,14C5,15A5,15C5,16B1,16D1,1B1,1C5,2B1,2C5,3B3
C,12D2,14B3,14D1,15B1,15D1,16B2,16D2,1B2,1D1,2B2,2D1,3B4
D,12D4,14B4,14D2,15B2,15D2,16B3,16D3,1B3,1D2,2B3,2D2,3B5
E,14A2,14B5,14D3,15B4,15D4,16B4,16D4,1B4,1D3,2B4,2D3,3C1
F,14A3,14C1,14D4,15B5,16A2,16C1,1A2,1B5,1D4,2B5,3A2,3C4
G,14A4,14C2,15A2,15C1,16A3,16C2,1A3,1C1,2A2,2C1,3A3,3C5
H,14A5,14C3,15A3,15C3,16A4,16C3,1A4,1C2,2A3,2C2,3B1,3D1
