,1,2,3,4,5,6,7,8,9,10,11,12
A,3292,3426,3492,3663,3477,3385,3473,3393,3391,3431,3629,3369
B,3399,3378,3455,3427,3461,3523,3367,3429,3435,3377,3354,3371
C,3397,3436,3471,3671,3479,3363,3453,3409,3375,3463,3387,3381
D,3488,3358,3501,3665,3425,3357,3403,3525,3487,3401,3361,3395
E,3406,3380,3527,3511,3667,3505,3517,3413,3529,3531,3467,3539
F,3478,3394,3417,3415,3469,3421,3485,3423,3521,3707,3653,3649
G,3518,3355,3503,3475,3715,3543,3507,3443,3419,3495,3290,3405
H,3362,3416,3669,3519,3433,3379,3537,3437,3312,3441,3447,3407
,,,,,,,,,,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,14C1,15C5,16D2,2B3,3B4,4B5,5C1,6C3,8A3,9A4,10B4,12A3
B,14C3,15D3,1A4,2C3,3C3,4C5,5C2,6C5,8C3,9A5,10D3,12A4
C,14D3,16A2,1B1,2D1,3C4,4D2,5C3,6D4,8C4,9B4,11B2,12B3
D,15A2,16A3,1B2,2D2,3C5,5A5,5C4,7B1,8C5,9C5,11B3,12C2
E,15A5,16A5,1B5,2D4,3D1,5B1,5C5,7B5,8D1,9D1,11B5,12C4
F,15B2,16B3,1D1,3A2,3D4,5B2,5D4,7C2,8D2,9D2,11C3,13A4
G,15B5,16C1,1D4,3A4,4B1,5B3,6A3,7C5,8D3,10A3,11C4,13B1
H,15C1,16C4,2A2,3B3,4B4,5B4,6B4,7D3,9A3,10B3,11C5,13C1
