Index,Cell,Value,ordinal,accession,cabinet,plantID,position,tray,ID
1,A1,6022,249,UP38,3,UDP_UP38.9,136,7D1,6022
2,A2,5715,257,UP45,3,UDP_UP45.10,146,8B1,5715
3,A3,6005,265,FG24,3,FG_FG24.7,154,8C4,6005
4,A4,5661,58,UD10,3,UDP_UD10.7,245,13A5,5661
5,A5,5571,66,ME17,3,ME_ME17.24,253,13C3,5571
6,A6,5607,274,MEP2,3,ME_MEP2.3,165,9A5,5607
7,A7,6038,284,M13,3,UDP_M13.25,175,9C5,6038
8,A8,5593,5,ME6,3,ME_ME6.29,186,10B1,5593
9,A9,5665,15,UD13,3,UDP_UD13.16,196,10D1,5665
10,A10,7009,,MEP2,3,ME_MEP2.9,,11B1,7009
11,A11,5698,32,UP38,3,UDP_UP38.19,215,11C5,5698
12,A12,5528,41,HB16,3,HB_HB16.5,226,12B1,5528
13,B1,5691,250,UD4,3,UDP_UD4.6,137,7D2,5691
14,B2,5672,258,UD13,3,UDP_UD13.26,147,8B2,5672
15,B3,5548,266,K13,3,KB_K13.2,155,8C5,5548
16,B4,5512,59,EZ9,3,EZE_EZ9.5,246,13B1,5512
17,B5,6018,67,UP38,3,UDP_UP38.1,254,13C4,6018
18,B6,5518,275,HB11,3,HB_HB11.2,166,9B1,5518
19,B7,5652,285,M4,3,UDP_M4.5,176,9D1,5652
20,B8,5521,6,HB11,3,HB_HB11.8,187,10B2,5521
21,B9,5609,16,MEP2,3,ME_MEP2.7,197,10D2,5609
22,B10,5722,24,VR13,3,VR_VR13.2,207,11B2,5722
23,B11,5673,33,UD13,3,UDP_UD13.28,216,11D1,5673
24,B12,5705,43,UP39,3,UDP_UP39.4,228,12B3,5705
25,C1,5712,251,UP45,3,UDP_UP45.7,138,7D3,5712
26,C2,6010,259,HB46,3,HB_HB46.5,148,8B3,6010
27,C3,5515,267,HB11,3,HB_HB11.12,156,8D1,5515
28,C4,5713,60,UP45,3,UDP_UP45.19,247,13B2,5713
29,C5,5560,68,K19,3,KB_K19.4,255,13C5,5560
30,C6,5671,276,UD13,3,UDP_UD13.11,167,9B2,5671
31,C7,5729,286,VR27,3,VR_VR27.9,177,9D2,5729
32,C8,5624,7,SB16,3,SB_SB16.1,188,10B3,5624
33,C9,5666,17,UD13,3,UDP_UD13.18,198,10D3,5666
34,C10,5707,25,UP39,3,UDP_UP39.8,208,11B3,5707
35,C11,7516,,MB12,3,MID_MB12.2,,11D2,7516
36,C12,5610,44,MB11,3,MID_MB11.1,229,12B4,5610
37,D1,6020,252,UP38,3,UDP_UP38.5,139,7D4,6020
38,D2,5553,260,K15,3,KB_K15.2,149,8B4,5553
39,D3,5670,268,UD13,3,UDP_UD13.9,157,8D2,5670
40,D4,5534,61,HB41,3,HB_HB41.3,248,13B3,5534
41,D5,5690,69,UD4,3,UDP_UD4.4,256,13D1,5690
42,D6,6041,279,EZ8,3,EZE_EZ8.3,170,9B5,6041
43,D7,6043,287,HB32,3,HB_HB32.3,178,9D3,6043
44,D8,5572,8,ME17,3,ME_ME17.26,189,10B4,5572
45,D9,5550,18,K13,3,KB_K13.6,199,10D4,5550
46,D10,5608,26,MEP2,3,ME_MEP2.5,209,11B4,5608
47,D11,5589,35,ME6,3,ME_ME6.7,218,11D3,5589
48,D12,6013,45,EZ1,3,EZE_EZ1.5,230,12B5,6013
49,E1,5664,253,UD13,3,UDP_UD13.5,142,8A2,5664
50,E2,5581,261,ME2,3,ME_ME2.3,150,8B5,5581
51,E3,5574,269,ME17,3,ME_ME17.30,158,8D3,5574
52,E4,6034,62,M13,3,UDP_M13.3,249,13B4,6034
53,E5,5597,70,ME8,3,ME_ME8.2,257,13D2,5597
54,E6,5544,280,HB49,3,HB_HB49.5,171,9C1,5544
55,E7,7016,,FG20,3,WOR_FG20.9,,9D4,7016
56,E8,5700,10,UP38,3,UDP_UP38.23,191,10C1,5700
57,E9,5520,19,HB11,3,HB_HB11.6,202,11A2,5520
58,E10,5502,27,EZ11,3,EZE_EZ11.2,210,11B5,5502
59,E11,6027,36,fg2,3,FG_fg2.5,219,11D4,6027
60,E12,7502,,ME6,3,ME_ME6.12,,12C1,7502
61,F1,5588,254,ME6,3,ME_ME6.5,143,8A3,5588
62,F2,6009,262,HB46,3,HB_HB46.3,151,8C1,6009
63,F3,5510,55,EZ4,3,EZE_EZ4.5,242,13A2,5510
64,F4,5527,63,HB16,3,HB_HB16.3,250,13B5,5527
65,F5,5714,72,UP45,3,UDP_UP45.21,259,13D4,5714
66,F6,6012,281,EZ1,3,EZE_EZ1.3,172,9C2,6012
67,F7,5562,1,K19,3,KB_K19.8,182,10A2,5562
68,F8,5586,11,ME6,3,ME_ME6.22,192,10C2,5586
69,F9,5522,20,HB11,3,HB_HB11.10,203,11A3,5522
70,F10,5718,28,UP45,3,UDP_UP45.14,211,11C1,5718
71,F11,5716,37,UP45,3,UDP_UP45.23,222,12A2,5716
72,F12,5674,47,UD14,3,UDP_UD14.2,232,12C2,5674
73,G1,5741,255,FG20,3,WOR_FG20.2,144,8A4,5741
74,G2,5728,263,VR27,3,VR_VR27.7,152,8C2,5728
75,G3,6011,56,EZ1,3,EZE_EZ1.1,243,13A3,6011
