Genotype,Treatment,Tray,Rep,Measurement,Value
WT,NotTouched,1,1,LeafLength,20.35
WT,NotTouched,1,2,LeafLength,21.19
WT,NotTouched,1,3,LeafLength,23.09
WT,NotTouched,1,4,LeafLength,14.12
WT,NotTouched,1,5,LeafLength,14.12
WT,NotTouched,1,6,LeafLength,24.56
WT,NotTouched,1,7,LeafLength,24.56
WT,NotTouched,1,8,LeafLength,24.56
WT,NotTouched,1,9,LeafLength,25.87
WT,NotTouched,1,10,LeafLength,21.87
WT,NotTouched,1,11,LeafLength,25.35
WT,NotTouched,1,12,LeafLength,25.18
WT,NotTouched,1,13,LeafLength,24.51
WT,NotTouched,1,14,LeafLength,19.96
WT,NotTouched,1,15,LeafLength,22.07
WT,NotTouched,2,16,LeafLength,20.53
WT,NotTouched,2,17,LeafLength,18.04
WT,NotTouched,2,18,LeafLength,23.24
WT,NotTouched,2,19,LeafLength,22.42
WT,NotTouched,2,20,LeafLength,23.06
WT,NotTouched,2,21,LeafLength,26.22
WT,NotTouched,2,22,LeafLength,23.25
WT,NotTouched,2,23,LeafLength,23.66
WT,NotTouched,2,24,LeafLength,23.91
WT,NotTouched,2,25,LeafLength,22.77
WT,NotTouched,2,26,LeafLength,24.08
WT,NotTouched,2,27,LeafLength,23.57
WT,NotTouched,2,28,LeafLength,27.17
WT,NotTouched,3,29,LeafLength,20.2
WT,NotTouched,3,30,LeafLength,22.2
WT,NotTouched,3,31,LeafLength,22.27
WT,NotTouched,3,32,LeafLength,20.38
WT,NotTouched,3,33,LeafLength,19.5
WT,NotTouched,3,34,LeafLength,21.72
WT,NotTouched,3,35,LeafLength,22.41
WT,NotTouched,3,36,LeafLength,21.28
WT,NotTouched,3,37,LeafLength,19.71
WT,NotTouched,3,38,LeafLength,19.78
WT,NotTouched,3,39,LeafLength,25.4
WT,NotTouched,3,40,LeafLength,24.5
WT,NotTouched,3,41,LeafLength,26.79
WT,NotTouched,3,42,LeafLength,17.25
ccr1.1,NotTouched,1,1,LeafLength,15.39
ccr1.1,NotTouched,1,2,LeafLength,10.31
ccr1.1,NotTouched,1,3,LeafLength,19.09
ccr1.1,NotTouched,1,4,LeafLength,12.43
ccr1.1,NotTouched,1,5,LeafLength,12.68
ccr1.1,NotTouched,1,6,LeafLength,16.57
ccr1.1,NotTouched,1,7,LeafLength,12.25
ccr1.1,NotTouched,1,8,LeafLength,9.92
ccr1.1,NotTouched,2,9,LeafLength,13.49
ccr1.1,NotTouched,2,10,LeafLength,21.02
ccr1.1,NotTouched,2,11,LeafLength,18.69
ccr1.1,NotTouched,2,12,LeafLength,14.83
ccr1.1,NotTouched,2,13,LeafLength,15.01
ccr1.1,NotTouched,2,14,LeafLength,20.42
ccr1.1,NotTouched,2,15,LeafLength,14.69
ccr1.1,NotTouched,2,16,LeafLength,13.91
ccr1.1,NotTouched,2,17,LeafLength,14.55
ccr1.1,NotTouched,3,18,LeafLength,18.42
ccr1.1,NotTouched,3,19,LeafLength,21.87
ccr1.1,NotTouched,3,20,LeafLength,13.78
ccr1.1,NotTouched,3,21,LeafLength,21.43
ccr1.1,NotTouched,3,22,LeafLength,13.8
ccr1.1,NotTouched,3,23,LeafLength,18.3
ccr1.1,NotTouched,3,24,LeafLength,18.49
ccr1.1,NotTouched,3,25,LeafLength,6.69
ccr1.1,NotTouched,3,26,LeafLength,23.32
ccr1.1,NotTouched,3,27,LeafLength,17.87
ccr1.1,NotTouched,3,28,LeafLength,22.27
ccr1.1,NotTouched,3,29,LeafLength,21.31
ccr1.1,NotTouched,3,30,LeafLength,12.29
WT,Touched,1,1,LeafLength,24.7
WT,Touched,1,2,LeafLength,17.63
WT,Touched,1,3,LeafLength,23.17
WT,Touched,1,4,LeafLength,18.94
WT,Touched,1,5,LeafLength,21.74
WT,Touched,1,6,LeafLength,21.18
WT,Touched,1,7,LeafLength,24.8
WT,Touched,1,8,LeafLength,22.89
WT,Touched,1,9,LeafLength,18.52
WT,Touched,1,10,LeafLength,21.55
WT,Touched,1,11,LeafLength,24.78
WT,Touched,1,12,LeafLength,21.8
WT,Touched,1,13,LeafLength,19.8
WT,Touched,1,14,LeafLength,19.8
WT,Touched,2,15,LeafLength,20.56
WT,Touched,2,16,LeafLength,15.57
WT,Touched,2,17,LeafLength,18.69
WT,Touched,2,18,LeafLength,23.42
WT,Touched,2,19,LeafLength,19.96
WT,Touched,2,20,LeafLength,21.56
WT,Touched,2,21,LeafLength,21.47
WT,Touched,2,22,LeafLength,26.7
WT,Touched,2,23,LeafLength,23.17
WT,Touched,2,24,LeafLength,24.37
WT,Touched,2,25,LeafLength,22.5
WT,Touched,2,26,LeafLength,21.39
WT,Touched,2,27,LeafLength,26.5
WT,Touched,2,28,LeafLength,20.13
WT,Touched,3,29,LeafLength,18.33
WT,Touched,3,30,LeafLength,10.52
WT,Touched,3,31,LeafLength,17.88
WT,Touched,3,32,LeafLength,18.49
WT,Touched,3,33,LeafLength,20.15
WT,Touched,3,34,LeafLength,23.43
WT,Touched,3,35,LeafLength,23.35
WT,Touched,3,36,LeafLength,19.98
WT,Touched,3,37,LeafLength,20.28
WT,Touched,3,38,LeafLength,21.22
WT,Touched,3,39,LeafLength,21.02
WT,Touched,3,40,LeafLength,20.19
WT,Touched,3,41,LeafLength,19.94
WT,Touched,3,42,LeafLength,19.94
ccr1.1,Touched,1,1,LeafLength,14.88
ccr1.1,Touched,1,2,LeafLength,22.38
ccr1.1,Touched,1,3,LeafLength,19.87
ccr1.1,Touched,1,4,LeafLength,22.3
ccr1.1,Touched,1,5,LeafLength,22.48
ccr1.1,Touched,1,6,LeafLength,23.26
ccr1.1,Touched,1,7,LeafLength,22.33
ccr1.1,Touched,1,8,LeafLength,19.04
ccr1.1,Touched,1,9,LeafLength,19.04
ccr1.1,Touched,1,10,LeafLength,16.15
ccr1.1,Touched,1,11,LeafLength,20.37
ccr1.1,Touched,1,12,LeafLength,9.78
ccr1.1,Touched,1,13,LeafLength,23.57
ccr1.1,Touched,1,14,LeafLength,17.48
ccr1.1,Touched,2,15,LeafLength,17.05
ccr1.1,Touched,2,16,LeafLength,18.86
ccr1.1,Touched,2,17,LeafLength,6.87
ccr1.1,Touched,2,18,LeafLength,19.13
ccr1.1,Touched,2,19,LeafLength,19.13
ccr1.1,Touched,2,20,LeafLength,19.43
ccr1.1,Touched,2,21,LeafLength,25.54
ccr1.1,Touched,2,22,LeafLength,18.9
ccr1.1,Touched,2,23,LeafLength,21.99
ccr1.1,Touched,2,24,LeafLength,10.44
ccr1.1,Touched,3,25,LeafLength,16.21
ccr1.1,Touched,3,26,LeafLength,21.39
ccr1.1,Touched,3,27,LeafLength,21.99
ccr1.1,Touched,3,28,LeafLength,17.22
ccr1.1,Touched,3,29,LeafLength,22.88
ccr1.1,Touched,3,30,LeafLength,19.46
ccr1.1,Touched,4,31,LeafLength,17.79
ccr1.1,Touched,5,32,LeafLength,7.56
ccr1.1,Touched,6,33,LeafLength,17.45
ccr1.1,Touched,7,34,LeafLength,16.58
ccr1.1,Touched,8,35,LeafLength,14.03
ccr1.1,Touched,9,36,LeafLength,16.21
WT,NotTouched,1,1,PetioleLength,11.842
WT,NotTouched,1,2,PetioleLength,11.352
WT,NotTouched,1,3,PetioleLength,14.184
WT,NotTouched,1,4,PetioleLength,9.545
WT,NotTouched,1,5,PetioleLength,7.77
WT,NotTouched,1,6,PetioleLength,16.36
WT,NotTouched,1,7,PetioleLength,18.68
WT,NotTouched,1,8,PetioleLength,13.54
WT,NotTouched,1,9,PetioleLength,15.504
WT,NotTouched,1,10,PetioleLength,14.058
WT,NotTouched,1,11,PetioleLength,17.53
WT,NotTouched,1,12,PetioleLength,15.798
WT,NotTouched,1,13,PetioleLength,15.174
WT,NotTouched,1,14,PetioleLength,13.644
WT,NotTouched,1,15,PetioleLength,13.984
WT,NotTouched,2,16,PetioleLength,14.098
WT,NotTouched,2,17,PetioleLength,13.766
WT,NotTouched,2,18,PetioleLength,16.804
WT,NotTouched,2,19,PetioleLength,15.932
WT,NotTouched,2,20,PetioleLength,18.856
WT,NotTouched,2,21,PetioleLength,20.91
WT,NotTouched,2,22,PetioleLength,16.44
WT,NotTouched,2,23,PetioleLength,17.604
WT,NotTouched,2,24,PetioleLength,15.938
WT,NotTouched,2,25,PetioleLength,16.244
WT,NotTouched,2,26,PetioleLength,17.454
WT,NotTouched,2,27,PetioleLength,13.748
WT,NotTouched,2,28,PetioleLength,17.922
WT,NotTouched,3,29,PetioleLength,13.22
WT,NotTouched,3,30,PetioleLength,15.126
WT,NotTouched,3,31,PetioleLength,13.38
WT,NotTouched,3,32,PetioleLength,14.526
WT,NotTouched,3,33,PetioleLength,13.278
WT,NotTouched,3,34,PetioleLength,15.348
WT,NotTouched,3,35,PetioleLength,14.738
WT,NotTouched,3,36,PetioleLength,14.91
WT,NotTouched,3,37,PetioleLength,13.594
WT,NotTouched,3,38,PetioleLength,15.142
WT,NotTouched,3,39,PetioleLength,18.408
WT,NotTouched,3,40,PetioleLength,16.708
WT,NotTouched,3,41,PetioleLength,18.416
WT,NotTouched,3,42,PetioleLength,11.256
ccr1.1,NotTouched,1,1,PetioleLength,9.676
ccr1.1,NotTouched,1,2,PetioleLength,8.37
ccr1.1,NotTouched,1,3,PetioleLength,11.28
ccr1.1,NotTouched,1,4,PetioleLength,9.574
ccr1.1,NotTouched,1,5,PetioleLength,10.054
