Target,Geno,AB,TO
ACTIN,Col,H3K4m2,25.2
ACTIN,Col,H3K4m2,25.3
ACTIN,Col,H3K4m2,25.35
ACTIN,ccr1.1,H3K4m2,25.62
ACTIN,ccr1.1,H3K4m2,25.66
ACTIN,ccr1.1,H3K4m2,25.44
ACTIN,ccr1.4,H3K4m2,25.34
ACTIN,ccr1.4,H3K4m2,25.08
ACTIN,ccr1.4,H3K4m2,25.36
SAM-1,Col,H3K4m2,23.73
SAM-1,Col,H3K4m2,22.88
SAM-1,Col,H3K4m2,22.31
SAM-1,ccr1.1,H3K4m2,23.63
SAM-1,ccr1.1,H3K4m2,23.32
SAM-1,ccr1.1,H3K4m2,23.38
SAM-1,ccr1.4,H3K4m2,22.9
SAM-1,ccr1.4,H3K4m2,23.34
SAM-1,ccr1.4,H3K4m2,23.14
CRTISO,Col,H3K4m2,24.11
CRTISO,Col,H3K4m2,24.13
CRTISO,Col,H3K4m2,24.2
CRTISO,ccr1.1,H3K4m2,22.77
CRTISO,ccr1.1,H3K4m2,23.06
CRTISO,ccr1.1,H3K4m2,23.09
CRTISO,ccr1.4,H3K4m2,22.68
CRTISO,ccr1.4,H3K4m2,22.7
CRTISO,ccr1.4,H3K4m2,22.56
DRP2-Ch1,Col,H3K4m2,23.61
DRP2-Ch1,Col,H3K4m2,23.75
DRP2-Ch1,Col,H3K4m2,23.64
DRP2-Ch1,ccr1.1,H3K4m2,22.66
DRP2-Ch1,ccr1.1,H3K4m2,22.76
DRP2-Ch1,ccr1.1,H3K4m2,23.57
DRP2-Ch1,ccr1.4,H3K4m2,22.5
DRP2-Ch1,ccr1.4,H3K4m2,22.62
DRP2-Ch1,ccr1.4,H3K4m2,22.54
DRP2-Ch2,Col,H3K4m2,22.2
DRP2-Ch2,Col,H3K4m2,22.29
DRP2-Ch2,Col,H3K4m2,22.02
DRP2-Ch2,ccr1.1,H3K4m2,21.8
DRP2-Ch2,ccr1.1,H3K4m2,21.85
DRP2-Ch2,ccr1.1,H3K4m2,21.99
DRP2-Ch2,ccr1.4,H3K4m2,21.33
DRP2-Ch2,ccr1.4,H3K4m2,21.28
DRP2-Ch2,ccr1.4,H3K4m2,21.23
TCH3-P1,Col,H3K4m2,22.99
TCH3-P1,Col,H3K4m2,23.79
TCH3-P1,Col,H3K4m2,23.12
TCH3-P1,ccr1.1,H3K4m2,23.36
TCH3-P1,ccr1.1,H3K4m2,23.18
TCH3-P1,ccr1.1,H3K4m2,23.23
TCH3-P1,ccr1.4,H3K4m2,23.13
TCH3-P1,ccr1.4,H3K4m2,23.08
TCH3-P1,ccr1.4,H3K4m2,22.98
YCH3-P2,Col,H3K4m2,29.12
YCH3-P2,Col,H3K4m2,
YCH3-P2,Col,H3K4m2,29.81
YCH3-P2,ccr1.1,H3K4m2,28.78
YCH3-P2,ccr1.1,H3K4m2,28.63
YCH3-P2,ccr1.1,H3K4m2,29.32
YCH3-P2,ccr1.4,H3K4m2,29.35
YCH3-P2,ccr1.4,H3K4m2,28.27
YCH3-P2,ccr1.4,H3K4m2,28.49
TCH3-G1,Col,H3K4m2,20.87
TCH3-G1,Col,H3K4m2,20.98
TCH3-G1,Col,H3K4m2,20.79
TCH3-G1,ccr1.1,H3K4m2,20.52
TCH3-G1,ccr1.1,H3K4m2,20.49
TCH3-G1,ccr1.1,H3K4m2,20.27
TCH3-G1,ccr1.4,H3K4m2,20.77
TCH3-G1,ccr1.4,H3K4m2,20.76
TCH3-G1,ccr1.4,H3K4m2,20.35
TCH3-G1,Col,H3K4m3,22.43
TCH3-G1,Col,H3K4m3,22.38
TCH3-G1,Col,H3K4m3,22.29
TCH3-G1,ccr1.1,H3K4m3,22.52
TCH3-G1,ccr1.1,H3K4m3,22.39
TCH3-G1,ccr1.1,H3K4m3,22.35
TCH3-G1,ccr1.4,H3K4m3,21.42
TCH3-G1,ccr1.4,H3K4m3,21.85
TCH3-G1,ccr1.4,H3K4m3,21.23
TCH3-G1,Col,H3K4m3,20.42
TCH3-G1,Col,H3K4m3,20.58
TCH3-G1,Col,H3K4m3,21.62
TCH3-G1,ccr1.1,H3K4m3,20.68
TCH3-G1,ccr1.1,H3K4m3,20.81
TCH3-G1,ccr1.1,H3K4m3,20.85
TCH3-G1,ccr1.4,H3K4m3,19.74
TCH3-G1,ccr1.4,H3K4m3,19.86
TCH3-G1,ccr1.4,H3K4m3,19.98
TCH3-G1,Col,H3K4m3,23.07
TCH3-G1,Col,H3K4m3,23.09
TCH3-G1,Col,H3K4m3,23.23
TCH3-G1,ccr1.1,H3K4m3,25.43
TCH3-G1,ccr1.1,H3K4m3,25.17
TCH3-G1,ccr1.1,H3K4m3,25.32
TCH3-G1,ccr1.4,H3K4m3,24.42
TCH3-G1,ccr1.4,H3K4m3,24.12
TCH3-G1,ccr1.4,H3K4m3,23.99
TCH3-G1,Col,H3K4m3,21.61
TCH3-G1,Col,H3K4m3,21.68
TCH3-G1,Col,H3K4m3,21.74
TCH3-G1,ccr1.1,H3K4m3,23.34
TCH3-G1,ccr1.1,H3K4m3,23.45
TCH3-G1,ccr1.1,H3K4m3,22.92
TCH3-G1,ccr1.4,H3K4m3,23
TCH3-G1,ccr1.4,H3K4m3,22.61
TCH3-G1,ccr1.4,H3K4m3,22.92
TCH3-G1,Col,H3K4m3,20.92
TCH3-G1,Col,H3K4m3,20.85
TCH3-G1,Col,H3K4m3,20.83
TCH3-G1,ccr1.1,H3K4m3,22.48
TCH3-G1,ccr1.1,H3K4m3,22.37
TCH3-G1,ccr1.1,H3K4m3,22.29
TCH3-G1,ccr1.4,H3K4m3,22.17
TCH3-G1,ccr1.4,H3K4m3,22.15
TCH3-G1,ccr1.4,H3K4m3,22.2
TCH3-G1,Col,H3K4m3,22.82
TCH3-G1,Col,H3K4m3,22.62
TCH3-G1,Col,H3K4m3,22.96
TCH3-G1,ccr1.1,H3K4m3,22.52
TCH3-G1,ccr1.1,H3K4m3,22.93
TCH3-G1,ccr1.1,H3K4m3,22.96
TCH3-G1,ccr1.4,H3K4m3,22.08
TCH3-G1,ccr1.4,H3K4m3,22.11
TCH3-G1,ccr1.4,H3K4m3,21.99
TCH3-G1,Col,H3K4m3,27.75
TCH3-G1,Col,H3K4m3,27.83
TCH3-G1,Col,H3K4m3,27.75
TCH3-G1,ccr1.1,H3K4m3,27.5
TCH3-G1,ccr1.1,H3K4m3,27.85
TCH3-G1,ccr1.1,H3K4m3,28.02
TCH3-G1,ccr1.4,H3K4m3,26.68
TCH3-G1,ccr1.4,H3K4m3,26.73
TCH3-G1,ccr1.4,H3K4m3,26.84
TCH3-G1,Col,H3K4m3,20.36
TCH3-G1,Col,H3K4m3,20.17
TCH3-G1,Col,H3K4m3,20.49
TCH3-G1,ccr1.1,H3K4m3,20.95
TCH3-G1,ccr1.1,H3K4m3,21.02
TCH3-G1,ccr1.1,H3K4m3,20.43
TCH3-G1,ccr1.4,H3K4m3,19.93
TCH3-G1,ccr1.4,H3K4m3,19.87
TCH3-G1,ccr1.4,H3K4m3,19.68
TCH3-G1,Col,NA,32.15
TCH3-G1,Col,NA,31.37
TCH3-G1,Col,NA,30.6
TCH3-G1,ccr1.1,NA,31.02
TCH3-G1,ccr1.1,NA,31.12
TCH3-G1,ccr1.1,NA,30.37
TCH3-G1,ccr1.4,NA,30.24
TCH3-G1,ccr1.4,NA,32.18
TCH3-G1,ccr1.4,NA,31.84
TCH3-G1,Col,NA,29.62
TCH3-G1,Col,NA,30.96
TCH3-G1,Col,NA,
TCH3-G1,ccr1.1,NA,28.23
TCH3-G1,ccr1.1,NA,29.4
TCH3-G1,ccr1.1,NA,28.08
TCH3-G1,ccr1.4,NA,31.37
TCH3-G1,ccr1.4,NA,32.06
TCH3-G1,ccr1.4,NA,29.94
TCH3-G1,Col,NA,32.98
TCH3-G1,Col,NA,33.52
TCH3-G1,Col,NA,33.49
TCH3-G1,ccr1.1,NA,31
TCH3-G1,ccr1.1,NA,31.59
TCH3-G1,ccr1.1,NA,32.3
TCH3-G1,ccr1.4,NA,31.77
