,1,2,3,4,5,6,7,8,9,10,11,12
A,6014,5525,5738,5582,5573,6019,5647,7518,5577,5575,5601,5566
B,6023,5508,6003,6004,5667,5552,6006,6002,5603,5709,5668,6001
C,5724,5623,5530,5642,5723,5630,5598,5570,7500,5655,5720,5524
D,5717,5635,5658,6035,5693,5689,5590,5619,5657,5615,5516,5650
E,5631,5604,5625,5532,5533,5682,5579,5613,5602,5684,7501,6047
F,5739,5719,6036,5606,5536,5584,5708,5557,5627,5633,6007,5513
G,6021,5717,5526,5640,5654,5591,6040,5646,6029,5618,5537,5504
H,5711,5569,6030,5663,6044,5725,5737,5559,5688,5563,6046,5733
,,,,,,,,,,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1A2,1C1,2A4,2C2,3A4,3C4,4B4,4D4,5C2,6A4,6C2,7A5
B,1A3,1C2,2A5,2C3,3A5,3C5,4B5,5A2,5C3,6A5,6C3,7B1
C,1A4,1C4,2B1,2C4,3B1,3D2,4C1,5A3,5C4,6B1,6C4,7B3
D,1A5,1D1,2B2,2D1,3B2,3D3,4C2,5A5,5C5,6B2,6C5,7B4
E,1B1,1D2,2B3,2D2,3B3,3D4,4C3,5B1,5D3,6B3,6D2,7B5
F,1B3,1D3,2B4,2D4,3B5,4A2,4C5,5B2,5D4,6B4,6D3,7C1
G,1B4,1D4,2B5,3A2,3C1,4A3,4D1,5B4,6A2,6B5,7A3,7C2
H,1B5,2A3,2C1,3A3,3C2,4A4,4D3,5B5,6A3,6C1,7A4,7C3
