,1,2,3,4,5,6,7,8,9,10,11,12
A,5910,7509,5851,5761,5780,5865,5837,5932,5804,5956,6080,5963
B,6120,6102,5771,5749,5943,6105,5811,7031,5978,5977,6070,6075
C,6092,5877,5810,7030,5923,5890,5949,5748,5976,5962,5864,5934
D,7029,6076,5812,5904,6097,6109,5960,5778,5915,5802,5899,6072
E,5803,5793,5829,5765,5941,5969,6088,5772,5794,6096,5894,5868
F,5818,6142,5938,5947,5784,5789,5825,5902,5768,7032,7034,5961
G,5967,5833,5945,6117,5815,5845,5928,5814,5764,5892,5846,6078
H,6125,5879,6103,7039,5907,5776,5929,5855,5875,5766,5852,5987
,,,,,,,,,,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,10A5,10C3,11A3,11C1,12A3,12C1,13A3,13C1,13D4,14B5,14D4,15B5
B,10B1,10C4,11A4,11C2,12A4,12C3,13A4,13C2,14A2,14C1,15A2,15C1
C,10B2,10C5,11A5,11C3,12A5,12C5,13A5,13C3,14A3,14C2,15A3,15C2
D,10B3,10D1,11B1,11C4,12B1,12D1,13B1,13C4,14A4,14C3,15A4,15C3
E,10B4,10D2,11B2,11C5,12B2,12D2,13B2,13C5,14A5,14C4,15A5,15C4
F,10B5,10D3,11B3,11D2,12B3,12D3,13B3,13D1,14B1,14C5,15B1,15C5
G,10C1,10D4,11B4,11D3,12B4,12D4,13B4,13D2,14B2,14D1,15B3,15D1
H,10C2,11A2,11B5,12A2,12B5,13A2,13B5,13D3,14B4,14D2,15B4,15D2
