Index,Cell,Value,ordinal,accession,cabinet,plantID,position,tray,ID
1,A1,5910,454,UD13,5,UDP_UD13.17,185,10A5,5910
2,A2,7509,462,FG1,5,WOR_FG1.3,193,10C3,7509
3,A3,5851,470,MEP2,5,ME_MEP2.2,203,11A3,5851
4,A4,5761,478,HB11,5,HB_HB11.15,211,11C1,5761
5,A5,5780,488,HB41,5,HB_HB41.6,223,12A3,5780
6,A6,5865,496,LG15,5,PKHLEI_LG15.2,231,12C1,5865
7,A7,5837,506,ME6,5,ME_ME6.28,243,13A3,5837
8,A8,5932,514,UD20,5,UDP_UD20.9,251,13C1,5932
9,A9,5804,522,K19,5,KB_K19.3,259,13D4,5804
10,A10,5956,531,UP45,5,UDP_UP45.6,270,14B5,5956
11,A11,6080,540,HB46,5,HB_HB46.2,279,14D4,6080
12,A12,5963,549,UP45,5,UDP_UP45.15,290,15B5,5963
13,B1,6120,455,UD4,5,UDP_UD4.12,186,10B1,6120
14,B2,6102,463,HB32,5,HB_HB32.6,194,10C4,6102
15,B3,5771,471,HB16,5,HB_HB16.2,204,11A4,5771
16,B4,5749,479,EZ2,5,EZE_EZ2.2,212,11C2,5749
17,B5,5943,489,UP38,5,UDP_UP38.20,224,12A4,5943
18,B6,6105,498,HB17,5,HB_HB17.5,233,12C3,6105
19,B7,5811,507,ME17,5,ME_ME17.2,244,13A4,5811
20,B8,7031,,K7,5,KB_K7.3,,13C2,7031
21,B9,5978,523,VR31,5,VR_VR31.1,262,14A2,5978
22,B10,5977,532,VR31,5,VR_VR31.4,271,14C1,5977
23,B11,6070,541,EZ7,5,EZE_EZ7.2,282,15A2,6070
24,B12,6075,550,FG24,5,FG_FG24.4,291,15C1,6075
25,C1,6092,456,LG9,5,PKHLEI_LG9.1,187,10B2,6092
26,C2,5877,464,SEW6,5,SEW_SEW6.4,195,10C5,5877
27,C3,5810,472,K8,5,KB_K8.1,205,11A5,5810
28,C4,7030,,NR8,5,NR_NR8.14,,11C3,7030
29,C5,5923,490,UD14,5,UDP_UD14.6,225,12A5,5923
30,C6,5890,500,M1U,5,UDP_M1U.5,235,12C5,5890
31,C7,5949,508,UP39,5,UDP_UP39.3,245,13A5,5949
32,C8,5748,516,EZ11,5,EZE_EZ11.7,253,13C3,5748
33,C9,5976,524,VR3,5,VR_VR3.2,263,14A3,5976
34,C10,5962,533,UP45,5,UDP_UP45.13,272,14C2,5962
35,C11,5864,542,LG15,5,PKHLEI_LG15.6,283,15A3,5864
36,C12,5934,551,UD4,5,UDP_UD4.3,292,15C2,5934
37,D1,7029,,MB16,5,MB_MB16.2,,10B3,7029
38,D2,6076,465,FG24,5,FG_FG24.6,196,10D1,6076
39,D3,5812,473,ME17,5,ME_ME17.23,206,11B1,5812
40,D4,5904,481,UD10,5,UDP_UD10.4,214,11C4,5904
41,D5,6097,491,M13,5,UDP_M13.7,226,12B1,6097
42,D6,6109,501,VR35,5,VR_VR35.1,236,12D1,6109
43,D7,5960,509,UP45,5,UDP_UP45.11,246,13B1,5960
44,D8,5778,517,HB41,5,HB_HB41.2,254,13C4,5778
45,D9,5915,525,UD13,5,UDP_UD13.10,264,14A4,5915
46,D10,5802,534,K15,5,KB_K15.11,273,14C3,5802
47,D11,5899,543,M5,5,UDP_M5.5,284,15A4,5899
48,D12,6072,552,FG27,5,FG_FG27.2,293,15C3,6072
49,E1,5803,458,K19,5,KB_K19.1,189,10B4,5803
50,E2,5793,466,K13,5,KB_K13.3,197,10D2,5793
51,E3,5829,474,ME6,5,ME_ME6.2,207,11B2,5829
52,E4,5765,482,HB11,5,HB_HB11.7,215,11C5,5765
53,E5,5941,492,UP38,5,UDP_UP38.16,227,12B2,5941
54,E6,5969,502,VR23,5,VR_VR23.18,237,12D2,5969
55,E7,6088,,EZ5.6,5,EZE_EZ5.6,,13B2,6088
56,E8,5772,518,HB16,5,HB_HB16.4,255,13C5,5772
57,E9,5794,526,K13,5,KB_K13.5,265,14A5,5794
58,E10,6096,535,M13,5,UDP_M13.5,274,14C4,6096
59,E11,5894,544,M1U,5,UDP_M1U.3,285,15A5,5894
60,E12,5868,553,SB10,5,SB_SB10.3,294,15C4,5868
61,F1,5818,459,ME17,5,ME_ME17.29,190,10B5,5818
62,F2,6142,467,ORW8,5,PK_ORW8.1,198,10D3,6142
63,F3,5938,475,UD5,5,UDP_UD5.2,208,11B3,5938
64,F4,5947,484,UP38,5,UDP_UP38.8,217,11D2,5947
