EcoID,line,condition,TimePoint,NPQ,altitude
6039,2Hovdala,coastal,20,0.35,53
6039,2Hovdala,coastal,40,1.38,53
6039,2Hovdala,coastal,60,1.78,53
6039,2Hovdala,coastal,80,2.02,53
6039,2Hovdala,coastal,100,2.31,53
6039,2Hovdala,coastal,120,2.34,53
6039,2Hovdala,coastal,150,2.66,53
6039,2Hovdala,coastal,180,2.69,53
6039,2Hovdala,coastal,240,2.74,53
6039,2Hovdala,coastal,300,2.8,53
6039,2Hovdala,coastal,360,2.68,53
6039,2Hovdala,coastal,450,2.59,53
6039,2Hovdala,coastal,480,1.37,53
6039,2Hovdala,coastal,510,0.89,53
6039,2Hovdala,coastal,610,0.53,53
6039,2Hovdala,coastal,710,0.43,53
7418,CS28847,coastal,20,0.56,429.2
7418,CS28847,coastal,40,1.79,429.2
7418,CS28847,coastal,60,2.25,429.2
7418,CS28847,coastal,80,2.53,429.2
7418,CS28847,coastal,100,2.92,429.2
7418,CS28847,coastal,120,2.82,429.2
7418,CS28847,coastal,150,2.89,429.2
7418,CS28847,coastal,180,2.91,429.2
7418,CS28847,coastal,240,3.07,429.2
7418,CS28847,coastal,300,3.1,429.2
7418,CS28847,coastal,360,3.19,429.2
7418,CS28847,coastal,450,2.82,429.2
7418,CS28847,coastal,480,1.51,429.2
7418,CS28847,coastal,510,1.01,429.2
7418,CS28847,coastal,610,0.56,429.2
7418,CS28847,coastal,710,0.47,429.2
6994,CS28049,coastal,20,0.41,453.7
6994,CS28049,coastal,40,1.46,453.7
6994,CS28049,coastal,60,2.06,453.7
6994,CS28049,coastal,80,2.36,453.7
6994,CS28049,coastal,100,2.69,453.7
6994,CS28049,coastal,120,2.79,453.7
6994,CS28049,coastal,150,2.92,453.7
6994,CS28049,coastal,180,3.02,453.7
6994,CS28049,coastal,240,3.08,453.7
6994,CS28049,coastal,300,3.12,453.7
6994,CS28049,coastal,360,3.06,453.7
6994,CS28049,coastal,450,2.67,453.7
6994,CS28049,coastal,480,1.19,453.7
6994,CS28049,coastal,510,0.85,453.7
6994,CS28049,coastal,610,0.59,453.7
6994,CS28049,coastal,710,0.51,453.7
8312,Is-0,coastal,20,0.59,269
8312,Is-0,coastal,40,1.76,269
8312,Is-0,coastal,60,2.34,269
8312,Is-0,coastal,80,2.55,269
8312,Is-0,coastal,100,2.91,269
8312,Is-0,coastal,120,2.95,269
8312,Is-0,coastal,150,2.99,269
8312,Is-0,coastal,180,3.17,269
8312,Is-0,coastal,240,3.23,269
8312,Is-0,coastal,300,3.31,269
8312,Is-0,coastal,360,3.3,269
8312,Is-0,coastal,450,2.88,269
8312,Is-0,coastal,480,1.48,269
8312,Is-0,coastal,510,0.92,269
8312,Is-0,coastal,610,0.59,269
8312,Is-0,coastal,710,0.47,269
7228,CS28458,coastal,20,0.47,134.1
7228,CS28458,coastal,40,1.68,134.1
7228,CS28458,coastal,60,2.23,134.1
7228,CS28458,coastal,80,2.53,134.1
