EcoID,line,condition,TimePoint,NPQ,altitude
6039,2Hovdala,coastal,20,0.55,53
6039,2Hovdala,coastal,40,1.51,53
6039,2Hovdala,coastal,60,1.96,53
6039,2Hovdala,coastal,80,2.17,53
6039,2Hovdala,coastal,100,2.34,53
6039,2Hovdala,coastal,120,2.59,53
6039,2Hovdala,coastal,150,2.75,53
6039,2Hovdala,coastal,180,2.73,53
6039,2Hovdala,coastal,240,2.88,53
6039,2Hovdala,coastal,300,2.8,53
6039,2Hovdala,coastal,360,2.93,53
6039,2Hovdala,coastal,450,3.1,53
6039,2Hovdala,coastal,480,1.25,53
6039,2Hovdala,coastal,510,0.74,53
6039,2Hovdala,coastal,610,0.46,53
6039,2Hovdala,coastal,710,0.42,53
7418,CS28847,coastal,20,0.86,429.2
7418,CS28847,coastal,40,1.92,429.2
7418,CS28847,coastal,60,2.42,429.2
7418,CS28847,coastal,80,2.63,429.2
7418,CS28847,coastal,100,2.9,429.2
7418,CS28847,coastal,120,2.94,429.2
7418,CS28847,coastal,150,3.12,429.2
7418,CS28847,coastal,180,3.22,429.2
7418,CS28847,coastal,240,3.34,429.2
7418,CS28847,coastal,300,3.27,429.2
7418,CS28847,coastal,360,3.3,429.2
7418,CS28847,coastal,450,3.28,429.2
7418,CS28847,coastal,480,1.5,429.2
7418,CS28847,coastal,510,0.93,429.2
7418,CS28847,coastal,610,0.51,429.2
7418,CS28847,coastal,710,0.43,429.2
6994,CS28049,coastal,20,0.61,453.7
6994,CS28049,coastal,40,1.64,453.7
6994,CS28049,coastal,60,2.08,453.7
6994,CS28049,coastal,80,2.35,453.7
6994,CS28049,coastal,100,2.55,453.7
6994,CS28049,coastal,120,2.79,453.7
6994,CS28049,coastal,150,2.93,453.7
6994,CS28049,coastal,180,3.12,453.7
6994,CS28049,coastal,240,3.31,453.7
6994,CS28049,coastal,300,3.25,453.7
6994,CS28049,coastal,360,3.32,453.7
6994,CS28049,coastal,450,3.42,453.7
6994,CS28049,coastal,480,1.33,453.7
6994,CS28049,coastal,510,0.78,453.7
6994,CS28049,coastal,610,0.48,453.7
6994,CS28049,coastal,710,0.4,453.7
8312,Is-0,coastal,20,0.73,269
8312,Is-0,coastal,40,1.82,269
8312,Is-0,coastal,60,2.37,269
8312,Is-0,coastal,80,2.58,269
8312,Is-0,coastal,100,2.9,269
8312,Is-0,coastal,120,3.01,269
8312,Is-0,coastal,150,3.18,269
8312,Is-0,coastal,180,3.26,269
8312,Is-0,coastal,240,3.34,269
8312,Is-0,coastal,300,3.28,269
8312,Is-0,coastal,360,3.38,269
8312,Is-0,coastal,450,3.29,269
8312,Is-0,coastal,480,1.5,269
8312,Is-0,coastal,510,0.88,269
8312,Is-0,coastal,610,0.47,269
8312,Is-0,coastal,710,0.38,269
7228,CS28458,coastal,20,0.7,134.1
7228,CS28458,coastal,40,1.76,134.1
7228,CS28458,coastal,60,2.34,134.1
7228,CS28458,coastal,80,2.54,134.1
7228,CS28458,coastal,100,2.75,134.1
7228,CS28458,coastal,120,2.85,134.1
7228,CS28458,coastal,150,3.01,134.1
7228,CS28458,coastal,180,3.08,134.1
7228,CS28458,coastal,240,3.25,134.1
7228,CS28458,coastal,300,3.18,134.1
7228,CS28458,coastal,360,3.29,134.1
7228,CS28458,coastal,450,3.43,134.1
7228,CS28458,coastal,480,1.38,134.1
7228,CS28458,coastal,510,0.82,134.1
7228,CS28458,coastal,610,0.47,134.1
7228,CS28458,coastal,710,0.38,134.1
8393,Ts-5,coastal,20,0.56,11.9
8393,Ts-5,coastal,40,1.95,11.9
8393,Ts-5,coastal,60,2.3,11.9
8393,Ts-5,coastal,80,2.43,11.9
8393,Ts-5,coastal,100,2.45,11.9
8393,Ts-5,coastal,120,2.54,11.9
8393,Ts-5,coastal,150,3.09,11.9
8393,Ts-5,coastal,180,2.72,11.9
8393,Ts-5,coastal,240,2.79,11.9
8393,Ts-5,coastal,300,3.17,11.9
8393,Ts-5,coastal,360,3.09,11.9
8393,Ts-5,coastal,450,3.2,11.9
8393,Ts-5,coastal,480,1.89,11.9
8393,Ts-5,coastal,510,1.13,11.9
8393,Ts-5,coastal,610,0.76,11.9
8393,Ts-5,coastal,710,0.52,11.9
7178,CS28373,coastal,20,0.81,494
7178,CS28373,coastal,40,1.91,494
7178,CS28373,coastal,60,2.32,494
7178,CS28373,coastal,80,2.57,494
7178,CS28373,coastal,100,2.93,494
7178,CS28373,coastal,120,3.01,494
7178,CS28373,coastal,150,3.27,494
7178,CS28373,coastal,180,3.32,494
7178,CS28373,coastal,240,3.38,494
7178,CS28373,coastal,300,3.46,494
7178,CS28373,coastal,360,3.52,494
7178,CS28373,coastal,450,3.24,494
7178,CS28373,coastal,480,1.52,494
7178,CS28373,coastal,510,0.93,494
7178,CS28373,coastal,610,0.54,494
7178,CS28373,coastal,710,0.46,494
7143,CS28279,coastal,20,0.67,38.9
7143,CS28279,coastal,40,1.76,38.9
7143,CS28279,coastal,60,2.14,38.9
7143,CS28279,coastal,80,2.44,38.9
7143,CS28279,coastal,100,2.68,38.9
7143,CS28279,coastal,120,2.87,38.9
7143,CS28279,coastal,150,2.99,38.9
7143,CS28279,coastal,180,3.12,38.9
7143,CS28279,coastal,240,3.27,38.9
7143,CS28279,coastal,300,3.4,38.9
7143,CS28279,coastal,360,3.53,38.9
7143,CS28279,coastal,450,3.48,38.9
7143,CS28279,coastal,480,1.49,38.9
7143,CS28279,coastal,510,0.87,38.9
7143,CS28279,coastal,610,0.64,38.9
7143,CS28279,coastal,710,0.55,38.9
7176,CS28362,coastal,20,0.87,269
7176,CS28362,coastal,40,2.01,269
7176,CS28362,coastal,60,2.46,269
7176,CS28362,coastal,80,2.72,269
7176,CS28362,coastal,100,2.99,269
7176,CS28362,coastal,120,3.16,269
7176,CS28362,coastal,150,3.38,269
7176,CS28362,coastal,180,3.56,269
7176,CS28362,coastal,240,3.48,269
7176,CS28362,coastal,300,3.52,269
7176,CS28362,coastal,360,3.76,269
7176,CS28362,coastal,450,3.61,269
7176,CS28362,coastal,480,1.5,269
7176,CS28362,coastal,510,0.85,269
7176,CS28362,coastal,610,0.57,269
7176,CS28362,coastal,710,0.45,269
6727,CS28140,coastal,20,0.52,71.1
6727,CS28140,coastal,40,1.63,71.1
6727,CS28140,coastal,60,2.06,71.1
6727,CS28140,coastal,80,2.36,71.1
6727,CS28140,coastal,100,2.66,71.1
6727,CS28140,coastal,120,2.8,71.1
6727,CS28140,coastal,150,2.98,71.1
6727,CS28140,coastal,180,3.16,71.1
6727,CS28140,coastal,240,3.27,71.1
6727,CS28140,coastal,300,3.32,71.1
6727,CS28140,coastal,360,3.36,71.1
6727,CS28140,coastal,450,3.22,71.1
6727,CS28140,coastal,480,1.31,71.1
6727,CS28140,coastal,510,0.79,71.1
6727,CS28140,coastal,610,0.56,71.1
6727,CS28140,coastal,710,0.5,71.1
8430,2Lisse,coastal,20,0.78,-2
8430,2Lisse,coastal,40,1.77,-2
8430,2Lisse,coastal,60,2.25,-2
8430,2Lisse,coastal,80,2.35,-2
8430,2Lisse,coastal,100,2.73,-2
8430,2Lisse,coastal,120,2.92,-2
8430,2Lisse,coastal,150,3.21,-2
8430,2Lisse,coastal,180,3.28,-2
8430,2Lisse,coastal,240,3.13,-2
8430,2Lisse,coastal,300,3.4,-2
8430,2Lisse,coastal,360,3.42,-2
8430,2Lisse,coastal,450,3.29,-2
8430,2Lisse,coastal,480,1.43,-2
8430,2Lisse,coastal,510,0.96,-2
8430,2Lisse,coastal,610,0.51,-2
8430,2Lisse,coastal,710,0.4,-2
5785,UK80 Unt1,coastal,20,0.75,268
5785,UK80 Unt1,coastal,40,1.86,268
5785,UK80 Unt1,coastal,60,2.24,268
5785,UK80 Unt1,coastal,80,2.53,268
5785,UK80 Unt1,coastal,100,2.78,268
5785,UK80 Unt1,coastal,120,2.88,268
5785,UK80 Unt1,coastal,150,3.19,268
5785,UK80 Unt1,coastal,180,3.28,268
5785,UK80 Unt1,coastal,240,3.32,268
5785,UK80 Unt1,coastal,300,3.46,268
5785,UK80 Unt1,coastal,360,3.5,268
5785,UK80 Unt1,coastal,450,3.43,268
5785,UK80 Unt1,coastal,480,1.36,268
5785,UK80 Unt1,coastal,510,0.87,268
5785,UK80 Unt1,coastal,610,0.55,268
5785,UK80 Unt1,coastal,710,0.48,268
8426,Ull1-1,coastal,20,0.77,33
8426,Ull1-1,coastal,40,2.09,33
8426,Ull1-1,coastal,60,2.52,33
8426,Ull1-1,coastal,80,2.83,33
8426,Ull1-1,coastal,100,3.09,33
8426,Ull1-1,coastal,120,3.19,33
8426,Ull1-1,coastal,150,3.44,33
8426,Ull1-1,coastal,180,3.62,33
8426,Ull1-1,coastal,240,3.53,33
8426,Ull1-1,coastal,300,3.74,33
8426,Ull1-1,coastal,360,3.72,33
8426,Ull1-1,coastal,450,3.61,33
8426,Ull1-1,coastal,480,1.6,33
8426,Ull1-1,coastal,510,1.01,33
8426,Ull1-1,coastal,610,0.63,33
8426,Ull1-1,coastal,710,0.52,33
7013,CS28061,coastal,20,0.63,54.1
7013,CS28061,coastal,40,1.89,54.1
7013,CS28061,coastal,60,2.3,54.1
7013,CS28061,coastal,80,2.57,54.1
7013,CS28061,coastal,100,2.81,54.1
7013,CS28061,coastal,120,2.93,54.1
7013,CS28061,coastal,150,3.21,54.1
7013,CS28061,coastal,180,3.26,54.1
7013,CS28061,coastal,240,3.35,54.1
7013,CS28061,coastal,300,3.6,54.1
7013,CS28061,coastal,360,3.6,54.1
7013,CS28061,coastal,450,3.58,54.1
7013,CS28061,coastal,480,1.38,54.1
7013,CS28061,coastal,510,0.89,54.1
7013,CS28061,coastal,610,0.58,54.1
7013,CS28061,coastal,710,0.45,54.1
8279,1Col-0,coastal,20,0.76,207
8279,1Col-0,coastal,40,1.75,207
8279,1Col-0,coastal,60,2.17,207
8279,1Col-0,coastal,80,2.61,207
8279,1Col-0,coastal,100,2.83,207
8279,1Col-0,coastal,120,2.97,207
8279,1Col-0,coastal,150,3.26,207
8279,1Col-0,coastal,180,3.28,207
8279,1Col-0,coastal,240,3.37,207
8279,1Col-0,coastal,300,3.53,207
8279,1Col-0,coastal,360,3.54,207
8279,1Col-0,coastal,450,3.67,207
8279,1Col-0,coastal,480,1.48,207
8279,1Col-0,coastal,510,0.9,207
8279,1Col-0,coastal,610,0.57,207
8279,1Col-0,coastal,710,0.49,207
8339,1Mrk-0,coastal,20,0.62,225
8339,1Mrk-0,coastal,40,1.57,225
8339,1Mrk-0,coastal,60,2.07,225
8339,1Mrk-0,coastal,80,2.31,225
8339,1Mrk-0,coastal,100,2.55,225
8339,1Mrk-0,coastal,120,2.7,225
8339,1Mrk-0,coastal,150,2.84,225
8339,1Mrk-0,coastal,180,2.87,225
8339,1Mrk-0,coastal,240,3.07,225
8339,1Mrk-0,coastal,300,3.13,225
8339,1Mrk-0,coastal,360,2.97,225
8339,1Mrk-0,coastal,450,3.14,225
8339,1Mrk-0,coastal,480,1.27,225
8339,1Mrk-0,coastal,510,0.82,225
8339,1Mrk-0,coastal,610,0.47,225
8339,1Mrk-0,coastal,710,0.37,225
7306,CS28650,coastal,20,0.81,71.6
7306,CS28650,coastal,40,1.84,71.6
7306,CS28650,coastal,60,2.28,71.6
7306,CS28650,coastal,80,2.72,71.6
7306,CS28650,coastal,100,2.78,71.6
7306,CS28650,coastal,120,2.84,71.6
7306,CS28650,coastal,150,3.09,71.6
7306,CS28650,coastal,180,3.12,71.6
7306,CS28650,coastal,240,3.27,71.6
7306,CS28650,coastal,300,3.39,71.6
7306,CS28650,coastal,360,3.23,71.6
7306,CS28650,coastal,450,3.41,71.6
7306,CS28650,coastal,480,1.4,71.6
7306,CS28650,coastal,510,0.87,71.6
7306,CS28650,coastal,610,0.53,71.6
7306,CS28650,coastal,710,0.41,71.6
7397,CS28823,coastal,20,0.69,133
7397,CS28823,coastal,40,1.93,133
7397,CS28823,coastal,60,2.4,133
7397,CS28823,coastal,80,2.62,133
7397,CS28823,coastal,100,2.91,133
7397,CS28823,coastal,120,3.05,133
7397,CS28823,coastal,150,3.19,133
7397,CS28823,coastal,180,3.25,133
7397,CS28823,coastal,240,3.39,133
7397,CS28823,coastal,300,3.56,133
7397,CS28823,coastal,360,3.47,133
7397,CS28823,coastal,450,3.56,133
7397,CS28823,coastal,480,1.45,133
7397,CS28823,coastal,510,0.94,133
7397,CS28823,coastal,610,0.57,133
7397,CS28823,coastal,710,0.45,133
7044,CS28102,coastal,20,0.55,413
7044,CS28102,coastal,40,1.69,413
7044,CS28102,coastal,60,2.17,413
7044,CS28102,coastal,80,2.5,413
7044,CS28102,coastal,100,2.64,413
7044,CS28102,coastal,120,2.86,413
7044,CS28102,coastal,150,3.08,413
7044,CS28102,coastal,180,3.21,413
7044,CS28102,coastal,240,3.28,413
7044,CS28102,coastal,300,3.5,413
7044,CS28102,coastal,360,3.32,413
7044,CS28102,coastal,450,3.42,413
7044,CS28102,coastal,480,1.3,413
7044,CS28102,coastal,510,0.81,413
7044,CS28102,coastal,610,0.51,413
7044,CS28102,coastal,710,0.42,413
8236,2HSm,coastal,20,0.55,550
8236,2HSm,coastal,40,1.59,550
8236,2HSm,coastal,60,2.11,550
8236,2HSm,coastal,80,2.32,550
8236,2HSm,coastal,100,2.48,550
8236,2HSm,coastal,120,2.66,550
8236,2HSm,coastal,150,2.65,550
8236,2HSm,coastal,180,2.89,550
8236,2HSm,coastal,240,2.99,550
8236,2HSm,coastal,300,2.92,550
8236,2HSm,coastal,360,3,550
8236,2HSm,coastal,450,2.9,550
8236,2HSm,coastal,480,1.22,550
8236,2HSm,coastal,510,0.75,550
8236,2HSm,coastal,610,0.48,550
8236,2HSm,coastal,710,0.39,550
8301,Gu-0,coastal,20,0.54,346
8301,Gu-0,coastal,40,1.75,346
8301,Gu-0,coastal,60,2.35,346
8301,Gu-0,coastal,80,2.67,346
8301,Gu-0,coastal,100,2.72,346
8301,Gu-0,coastal,120,3.15,346
8301,Gu-0,coastal,150,3.13,346
8301,Gu-0,coastal,180,3.24,346
8301,Gu-0,coastal,240,3.48,346
8301,Gu-0,coastal,300,3.38,346
8301,Gu-0,coastal,360,3.26,346
8301,Gu-0,coastal,450,3.22,346
8301,Gu-0,coastal,480,1.53,346
8301,Gu-0,coastal,510,0.9,346
8301,Gu-0,coastal,610,0.52,346
8301,Gu-0,coastal,710,0.42,346
8334,Lu-1,coastal,20,0.79,67
8334,Lu-1,coastal,40,1.64,67
8334,Lu-1,coastal,60,2.21,67
8334,Lu-1,coastal,80,2.31,67
8334,Lu-1,coastal,100,2.44,67
8334,Lu-1,coastal,120,2.67,67
8334,Lu-1,coastal,150,2.8,67
8334,Lu-1,coastal,180,2.84,67
8334,Lu-1,coastal,240,3,67
8334,Lu-1,coastal,300,3.09,67
8334,Lu-1,coastal,360,3.07,67
8334,Lu-1,coastal,450,3.05,67
8334,Lu-1,coastal,480,1.23,67
8334,Lu-1,coastal,510,0.78,67
8334,Lu-1,coastal,610,0.47,67
8334,Lu-1,coastal,710,0.39,67
8387,2St-0,coastal,20,0.37,38
8387,2St-0,coastal,40,1.52,38
8387,2St-0,coastal,60,2.1,38
8387,2St-0,coastal,80,2.48,38
8387,2St-0,coastal,100,2.65,38
8387,2St-0,coastal,120,2.84,38
8387,2St-0,coastal,150,2.87,38
8387,2St-0,coastal,180,3.08,38
8387,2St-0,coastal,240,3.17,38
8387,2St-0,coastal,300,3.15,38
8387,2St-0,coastal,360,2.95,38
8387,2St-0,coastal,450,2.87,38
8387,2St-0,coastal,480,1.26,38
8387,2St-0,coastal,510,0.78,38
8387,2St-0,coastal,610,0.56,38
8387,2St-0,coastal,710,0.47,38
8281,1Cvi-0,coastal,20,0.49,308
8281,1Cvi-0,coastal,40,1.42,308
8281,1Cvi-0,coastal,60,2.06,308
8281,1Cvi-0,coastal,80,2.36,308
8281,1Cvi-0,coastal,100,2.45,308
8281,1Cvi-0,coastal,120,2.73,308
8281,1Cvi-0,coastal,150,2.63,308
8281,1Cvi-0,coastal,180,2.92,308
8281,1Cvi-0,coastal,240,3.02,308
8281,1Cvi-0,coastal,300,3.08,308
8281,1Cvi-0,coastal,360,2.95,308
8281,1Cvi-0,coastal,450,2.67,308
8281,1Cvi-0,coastal,480,1.2,308
8281,1Cvi-0,coastal,510,0.77,308
8281,1Cvi-0,coastal,610,0.48,308
8281,1Cvi-0,coastal,710,0.43,308
8279,1Col-0,coastal,20,0.68,207
8279,1Col-0,coastal,40,1.71,207
8279,1Col-0,coastal,60,2.19,207
8279,1Col-0,coastal,80,2.48,207
8279,1Col-0,coastal,100,2.63,207
8279,1Col-0,coastal,120,2.81,207
8279,1Col-0,coastal,150,2.91,207
8279,1Col-0,coastal,180,2.99,207
8279,1Col-0,coastal,240,3.12,207
8279,1Col-0,coastal,300,3.22,207
8279,1Col-0,coastal,360,3.11,207
8279,1Col-0,coastal,450,3.16,207
8279,1Col-0,coastal,480,1.58,207
8279,1Col-0,coastal,510,1,207
8279,1Col-0,coastal,610,0.48,207
8279,1Col-0,coastal,710,0.38,207
7035,CS28090,coastal,20,0.58,462
7035,CS28090,coastal,40,1.71,462
7035,CS28090,coastal,60,2.16,462
7035,CS28090,coastal,80,2.5,462
7035,CS28090,coastal,100,2.66,462
7035,CS28090,coastal,120,2.87,462
7035,CS28090,coastal,150,3.02,462
7035,CS28090,coastal,180,3.11,462
7035,CS28090,coastal,240,3.28,462
7035,CS28090,coastal,300,3.35,462
7035,CS28090,coastal,360,3.29,462
7035,CS28090,coastal,450,3.42,462
7035,CS28090,coastal,480,1.46,462
7035,CS28090,coastal,510,0.96,462
7035,CS28090,coastal,610,0.47,462
7035,CS28090,coastal,710,0.37,462
8360,1Pro-0,coastal,20,0.68,324
8360,1Pro-0,coastal,40,1.75,324
8360,1Pro-0,coastal,60,2.24,324
8360,1Pro-0,coastal,80,2.45,324
8360,1Pro-0,coastal,100,2.69,324
8360,1Pro-0,coastal,120,2.73,324
8360,1Pro-0,coastal,150,2.88,324
8360,1Pro-0,coastal,180,2.9,324
8360,1Pro-0,coastal,240,3.11,324
8360,1Pro-0,coastal,300,3.11,324
8360,1Pro-0,coastal,360,3.11,324
8360,1Pro-0,coastal,450,3.18,324
8360,1Pro-0,coastal,480,1.3,324
8360,1Pro-0,coastal,510,0.81,324
8360,1Pro-0,coastal,610,0.57,324
8360,1Pro-0,coastal,710,0.5,324
6046,1Lov-5,coastal,20,0.61,46.5
6046,1Lov-5,coastal,40,1.7,46.5
6046,1Lov-5,coastal,60,2.2,46.5
6046,1Lov-5,coastal,80,2.42,46.5
6046,1Lov-5,coastal,100,2.57,46.5
6046,1Lov-5,coastal,120,2.69,46.5
6046,1Lov-5,coastal,150,2.9,46.5
6046,1Lov-5,coastal,180,2.97,46.5
6046,1Lov-5,coastal,240,3.15,46.5
6046,1Lov-5,coastal,300,3.14,46.5
6046,1Lov-5,coastal,360,3.06,46.5
6046,1Lov-5,coastal,450,3.12,46.5
6046,1Lov-5,coastal,480,1.24,46.5
6046,1Lov-5,coastal,510,0.86,46.5
6046,1Lov-5,coastal,610,0.64,46.5
6046,1Lov-5,coastal,710,0.54,46.5
7239,CS28472,coastal,20,0.76,353
7239,CS28472,coastal,40,1.73,353
7239,CS28472,coastal,60,2.42,353
7239,CS28472,coastal,80,2.54,353
7239,CS28472,coastal,100,2.87,353
7239,CS28472,coastal,120,2.89,353
7239,CS28472,coastal,150,3.18,353
7239,CS28472,coastal,180,3.2,353
7239,CS28472,coastal,240,3.35,353
7239,CS28472,coastal,300,3.39,353
7239,CS28472,coastal,360,3.26,353
7239,CS28472,coastal,450,3.26,353
7239,CS28472,coastal,480,1.26,353
7239,CS28472,coastal,510,0.76,353
7239,CS28472,coastal,610,0.54,353
7239,CS28472,coastal,710,0.4,353
8333,1LP2-6,coastal,20,0,567
8333,1LP2-6,coastal,40,0,567
8333,1LP2-6,coastal,60,0,567
8333,1LP2-6,coastal,80,0,567
8333,1LP2-6,coastal,100,0,567
8333,1LP2-6,coastal,120,0,567
8333,1LP2-6,coastal,150,0,567
8333,1LP2-6,coastal,180,0,567
8333,1LP2-6,coastal,240,0,567
