EcoID,line,condition,TimePoint,NPQ,altitude
6039,2Hovdala,coastal,20,0.5,53
6039,2Hovdala,coastal,40,1.53,53
6039,2Hovdala,coastal,60,1.97,53
6039,2Hovdala,coastal,80,2.15,53
6039,2Hovdala,coastal,100,2.39,53
6039,2Hovdala,coastal,120,2.44,53
6039,2Hovdala,coastal,150,2.57,53
6039,2Hovdala,coastal,180,2.62,53
6039,2Hovdala,coastal,240,2.79,53
6039,2Hovdala,coastal,300,2.92,53
6039,2Hovdala,coastal,360,2.87,53
6039,2Hovdala,coastal,450,2.83,53
6039,2Hovdala,coastal,480,1.16,53
6039,2Hovdala,coastal,510,0.7,53
6039,2Hovdala,coastal,610,0.48,53
6039,2Hovdala,coastal,710,0.43,53
7418,CS28847,coastal,20,0.87,429.2
7418,CS28847,coastal,40,1.86,429.2
7418,CS28847,coastal,60,2.34,429.2
7418,CS28847,coastal,80,2.53,429.2
7418,CS28847,coastal,100,2.73,429.2
7418,CS28847,coastal,120,2.86,429.2
7418,CS28847,coastal,150,2.94,429.2
7418,CS28847,coastal,180,3.01,429.2
7418,CS28847,coastal,240,3.08,429.2
7418,CS28847,coastal,300,3.09,429.2
7418,CS28847,coastal,360,3.06,429.2
7418,CS28847,coastal,450,3.05,429.2
7418,CS28847,coastal,480,1.22,429.2
7418,CS28847,coastal,510,0.76,429.2
7418,CS28847,coastal,610,0.48,429.2
7418,CS28847,coastal,710,0.42,429.2
6994,CS28049,coastal,20,0.5,453.7
6994,CS28049,coastal,40,1.61,453.7
6994,CS28049,coastal,60,2.14,453.7
6994,CS28049,coastal,80,2.37,453.7
6994,CS28049,coastal,100,2.63,453.7
6994,CS28049,coastal,120,2.8,453.7
6994,CS28049,coastal,150,2.88,453.7
6994,CS28049,coastal,180,3.04,453.7
6994,CS28049,coastal,240,3.17,453.7
6994,CS28049,coastal,300,3.11,453.7
6994,CS28049,coastal,360,3.14,453.7
6994,CS28049,coastal,450,3.03,453.7
6994,CS28049,coastal,480,1.24,453.7
6994,CS28049,coastal,510,0.77,453.7
6994,CS28049,coastal,610,0.55,453.7
6994,CS28049,coastal,710,0.48,453.7
8312,Is-0,coastal,20,0.63,269
8312,Is-0,coastal,40,1.8,269
8312,Is-0,coastal,60,2.28,269
8312,Is-0,coastal,80,2.51,269
8312,Is-0,coastal,100,2.76,269
8312,Is-0,coastal,120,2.89,269
8312,Is-0,coastal,150,2.99,269
