EcoID,line,condition,TimePoint,NPQ,altitude
6039,2Hovdala,coastal,20,0.42,53
6039,2Hovdala,coastal,40,1.31,53
6039,2Hovdala,coastal,60,1.78,53
6039,2Hovdala,coastal,80,2.06,53
6039,2Hovdala,coastal,100,2.31,53
6039,2Hovdala,coastal,120,2.46,53
6039,2Hovdala,coastal,150,2.69,53
6039,2Hovdala,coastal,180,2.75,53
6039,2Hovdala,coastal,240,2.88,53
6039,2Hovdala,coastal,300,2.92,53
6039,2Hovdala,coastal,360,3.12,53
6039,2Hovdala,coastal,450,3.21,53
6039,2Hovdala,coastal,480,1.18,53
6039,2Hovdala,coastal,510,0.75,53
6039,2Hovdala,coastal,610,0.51,53
6039,2Hovdala,coastal,710,0.44,53
7418,CS28847,coastal,20,0.76,429.2
7418,CS28847,coastal,40,1.88,429.2
7418,CS28847,coastal,60,2.32,429.2
7418,CS28847,coastal,80,2.58,429.2
7418,CS28847,coastal,100,2.87,429.2
7418,CS28847,coastal,120,2.92,429.2
7418,CS28847,coastal,150,3.12,429.2
7418,CS28847,coastal,180,3.19,429.2
7418,CS28847,coastal,240,3.24,429.2
7418,CS28847,coastal,300,3.3,429.2
7418,CS28847,coastal,360,3.45,429.2
7418,CS28847,coastal,450,3.44,429.2
7418,CS28847,coastal,480,1.36,429.2
7418,CS28847,coastal,510,0.87,429.2
7418,CS28847,coastal,610,0.55,429.2
7418,CS28847,coastal,710,0.46,429.2
6994,CS28049,coastal,20,0.57,453.7
6994,CS28049,coastal,40,1.59,453.7
6994,CS28049,coastal,60,2.1,453.7
6994,CS28049,coastal,80,2.44,453.7
6994,CS28049,coastal,100,2.73,453.7
6994,CS28049,coastal,120,2.86,453.7
6994,CS28049,coastal,150,3.06,453.7
6994,CS28049,coastal,180,3.17,453.7
6994,CS28049,coastal,240,3.31,453.7
6994,CS28049,coastal,300,3.34,453.7
6994,CS28049,coastal,360,3.48,453.7
6994,CS28049,coastal,450,3.51,453.7
6994,CS28049,coastal,480,1.3,453.7
6994,CS28049,coastal,510,0.79,453.7
6994,CS28049,coastal,610,0.55,453.7
6994,CS28049,coastal,710,0.46,453.7
8312,Is-0,coastal,20,0.61,269
8312,Is-0,coastal,40,1.73,269
8312,Is-0,coastal,60,2.27,269
8312,Is-0,coastal,80,2.56,269
8312,Is-0,coastal,100,2.85,269
8312,Is-0,coastal,120,2.98,269
8312,Is-0,coastal,150,3.15,269
8312,Is-0,coastal,180,3.2,269
8312,Is-0,coastal,240,3.31,269
8312,Is-0,coastal,300,3.36,269
8312,Is-0,coastal,360,3.48,269
8312,Is-0,coastal,450,3.42,269
8312,Is-0,coastal,480,1.38,269
8312,Is-0,coastal,510,0.84,269
8312,Is-0,coastal,610,0.53,269
8312,Is-0,coastal,710,0.42,269
7228,CS28458,coastal,20,0.75,134.1
7228,CS28458,coastal,40,1.75,134.1
7228,CS28458,coastal,60,2.23,134.1
7228,CS28458,coastal,80,2.5,134.1
7228,CS28458,coastal,100,2.75,134.1
7228,CS28458,coastal,120,2.82,134.1
7228,CS28458,coastal,150,3,134.1
7228,CS28458,coastal,180,3.08,134.1
7228,CS28458,coastal,240,3.17,134.1
7228,CS28458,coastal,300,3.34,134.1
7228,CS28458,coastal,360,3.41,134.1
7228,CS28458,coastal,450,3.49,134.1
7228,CS28458,coastal,480,1.19,134.1
7228,CS28458,coastal,510,0.75,134.1
7228,CS28458,coastal,610,0.51,134.1
7228,CS28458,coastal,710,0.43,134.1
8393,Ts-5,coastal,20,0.65,11.9
8393,Ts-5,coastal,40,1.61,11.9
8393,Ts-5,coastal,60,2.09,11.9
8393,Ts-5,coastal,80,2.34,11.9
8393,Ts-5,coastal,100,2.6,11.9
8393,Ts-5,coastal,120,2.74,11.9
8393,Ts-5,coastal,150,2.91,11.9
8393,Ts-5,coastal,180,3.04,11.9
8393,Ts-5,coastal,240,3.2,11.9
8393,Ts-5,coastal,300,3.13,11.9
8393,Ts-5,coastal,360,3.24,11.9
8393,Ts-5,coastal,450,3.28,11.9
8393,Ts-5,coastal,480,1.61,11.9
8393,Ts-5,coastal,510,1,11.9
8393,Ts-5,coastal,610,0.55,11.9
8393,Ts-5,coastal,710,0.47,11.9
7178,CS28373,coastal,20,0.67,494
7178,CS28373,coastal,40,1.73,494
7178,CS28373,coastal,60,2.21,494
7178,CS28373,coastal,80,2.53,494
7178,CS28373,coastal,100,2.83,494
7178,CS28373,coastal,120,2.99,494
7178,CS28373,coastal,150,3.18,494
7178,CS28373,coastal,180,3.3,494
7178,CS28373,coastal,240,3.4,494
7178,CS28373,coastal,300,3.44,494
7178,CS28373,coastal,360,3.48,494
7178,CS28373,coastal,450,3.44,494
7178,CS28373,coastal,480,1.4,494
7178,CS28373,coastal,510,0.9,494
7178,CS28373,coastal,610,0.55,494
7178,CS28373,coastal,710,0.46,494
7143,CS28279,coastal,20,0.56,38.9
7143,CS28279,coastal,40,1.6,38.9
7143,CS28279,coastal,60,2.12,38.9
7143,CS28279,coastal,80,2.48,38.9
7143,CS28279,coastal,100,2.75,38.9
7143,CS28279,coastal,120,2.93,38.9
7143,CS28279,coastal,150,3.1,38.9
7143,CS28279,coastal,180,3.29,38.9
7143,CS28279,coastal,240,3.39,38.9
7143,CS28279,coastal,300,3.38,38.9
7143,CS28279,coastal,360,3.51,38.9
7143,CS28279,coastal,450,3.47,38.9
7143,CS28279,coastal,480,1.45,38.9
7143,CS28279,coastal,510,0.94,38.9
